Age,Credit_Score,Loan_Type,Gender,Marital_Status,Annual_Income_INR,Loan_Term_Months,Loan_Approved
45,867,vehicle,male,married,1635621,238,0
24,359,vehicle,other,divorced,956702,106,0
26,338,vehicle,male,divorced,528737,41,0
25,839,gold,female,divorced,2072585,72,1
29,348,home,male,divorced,2765767,82,0
51,719,home,other,single,213209,238,0
50,312,vehicle,female,married,1345167,163,0
40,335,education,other,single,1612013,92,0
41,400,gold,other,single,1133196,204,0
54,385,education,male,married,1133504,227,0
52,815,personal,male,married,2215561,162,1
61,522,home,other,single,2872029,77,0
57,637,home,other,divorced,1455253,207,0
39,465,education,female,married,1572267,166,0
44,682,gold,other,married,1688191,64,1
52,675,home,other,single,679632,25,1
18,770,education,male,divorced,1350125,226,0
52,330,business,other,married,2813348,162,0
54,674,business,other,single,309074,186,0
64,310,gold,male,married,2247908,218,0
31,601,education,female,divorced,577038,134,0
20,395,business,male,single,276031,167,0
18,489,gold,male,single,1749211,177,0
22,752,vehicle,other,divorced,118733,229,0
43,491,gold,other,single,547427,114,0
31,785,personal,female,divorced,1720957,19,1
56,565,vehicle,other,single,2381740,170,0
44,723,education,female,divorced,137487,168,0
26,427,vehicle,female,married,140849,192,0
32,537,vehicle,female,married,2604918,29,0
32,654,education,female,married,1918594,198,0
43,411,education,other,single,1749264,115,0
59,745,business,male,divorced,1801984,139,1
30,642,personal,male,divorced,2288082,201,0
49,444,education,other,married,2025478,43,0
56,364,home,other,married,1555499,134,0
49,546,home,female,married,981455,46,0
21,789,personal,other,divorced,2668551,36,1
47,738,gold,male,married,590486,41,1
54,405,gold,other,single,391162,206,0
40,480,home,other,married,1104667,110,0
56,483,education,female,married,907463,187,0
62,525,personal,female,divorced,1344812,114,0
32,388,gold,female,single,470570,220,0
60,829,gold,female,divorced,2115653,36,1
46,670,vehicle,male,single,1689583,162,1
53,698,home,other,single,100056,118,0
30,405,education,other,married,2440501,218,0
49,570,personal,female,married,770712,136,0
24,802,gold,male,divorced,611854,191,0
39,824,vehicle,male,divorced,1982828,223,0
45,331,home,other,divorced,2004081,66,0
19,692,home,female,single,1892284,11,0
59,339,personal,other,divorced,2672673,25,0
62,517,gold,other,single,2642337,116,0
23,381,personal,male,single,2761634,66,0
45,500,personal,male,single,801916,179,0
45,746,business,other,single,2961895,146,1
61,727,vehicle,female,single,1869731,238,0
61,337,home,female,married,1300520,28,0
37,510,business,other,single,1353975,84,0
47,743,education,other,single,1221648,36,1
28,626,home,female,married,2184023,9,0
45,526,home,female,married,748207,208,0
42,347,vehicle,female,married,1496688,123,0
56,317,education,other,divorced,853646,71,0
50,738,gold,male,divorced,1102581,149,1
18,486,education,female,single,1782118,120,0
44,644,gold,female,single,1671849,36,0
30,523,education,female,single,1088323,181,0
58,787,personal,other,single,2621111,128,1
20,528,education,male,married,2108639,236,0
56,689,business,male,divorced,2428887,48,1
23,888,business,female,married,1311853,9,1
25,487,vehicle,other,divorced,2214797,195,0
44,569,gold,male,married,1261237,53,0
26,609,home,other,single,1482193,161,0
54,431,vehicle,male,divorced,937166,149,0
50,850,business,female,single,1651126,236,0
59,371,business,other,divorced,1834367,94,0
61,486,gold,female,divorced,1733778,131,0
41,785,business,male,single,1166458,82,1
32,490,business,male,single,309611,202,0
49,721,gold,female,single,1060850,163,1
49,419,business,male,married,2341203,70,0
41,519,home,female,divorced,1249089,74,0
58,352,personal,female,divorced,2578047,19,0
29,750,vehicle,female,divorced,2859740,80,1
56,711,home,male,single,305908,167,1
19,536,home,other,divorced,2317506,189,0
20,705,personal,female,divorced,2009225,34,0
54,721,vehicle,other,single,206500,215,0
34,546,home,male,single,401062,84,0
19,371,business,male,divorced,2077000,158,0
19,484,personal,other,married,345377,99,0
45,305,vehicle,female,single,1700649,71,0
40,505,education,male,married,355333,120,0
54,843,gold,female,married,444901,45,1
49,686,business,female,married,2091258,224,0
50,375,personal,other,married,2034498,148,0
18,476,gold,male,single,696285,37,0
36,648,education,other,divorced,838761,25,0
19,554,home,male,divorced,2458524,58,0
61,607,home,other,single,2044776,211,0
43,644,vehicle,male,single,2188467,224,0
49,426,personal,male,married,2948418,200,0
23,586,personal,male,married,1352516,54,0
49,895,vehicle,female,single,935815,200,0
21,786,gold,female,divorced,1017831,210,0
28,682,home,other,married,2023309,94,1
34,705,home,other,single,2968149,87,1
55,687,personal,male,single,175614,6,0
41,824,personal,male,single,2859550,172,1
22,856,vehicle,female,married,2467344,66,1
51,575,education,female,single,331673,188,0
23,799,gold,female,divorced,1407983,202,0
39,636,business,other,single,2444219,135,0
28,780,education,female,married,2647909,99,1
33,572,education,other,divorced,538687,22,0
50,357,personal,female,divorced,299387,162,0
26,627,personal,female,single,474154,122,0
23,408,personal,male,single,2472521,111,0
33,578,education,other,divorced,1639869,137,0
46,627,gold,female,single,826231,206,0
20,614,personal,male,married,2974726,197,0
37,773,home,other,divorced,1805585,90,1
53,410,gold,other,single,1610190,48,0
36,528,home,female,divorced,190721,81,0
43,796,gold,other,single,127134,145,0
20,455,personal,male,single,1870389,55,0
36,772,business,male,married,2078524,201,0
37,571,vehicle,other,single,272193,66,0
49,301,personal,male,single,2414281,225,0
24,810,education,other,single,353107,206,0
58,585,business,male,married,1540046,109,0
50,312,education,other,single,1711081,56,0
57,797,gold,other,single,515282,229,0
56,537,education,other,single,1671829,82,0
35,393,business,male,divorced,2852507,103,0
57,637,business,other,married,2194508,88,0
18,470,personal,other,divorced,1267479,83,0
28,866,home,female,married,2140906,10,1
45,766,personal,female,married,1343125,224,0
42,442,gold,other,divorced,266561,161,0
40,500,education,female,married,2221850,223,0
48,479,home,other,married,1061164,143,0
47,663,vehicle,female,divorced,1430357,93,1
59,778,business,male,single,2376248,214,0
52,864,home,male,married,1995413,185,0
24,770,home,other,divorced,1968564,213,0
33,683,personal,other,married,1230752,22,1
43,716,vehicle,male,divorced,300633,70,1
19,607,business,male,single,2818452,129,0
18,666,gold,female,married,1351925,26,0
29,300,gold,other,single,103654,187,0
22,343,home,male,single,1975436,116,0
54,397,home,male,divorced,2691923,182,0
49,564,education,other,married,2104116,112,0
26,439,vehicle,female,married,981811,27,0
58,780,business,female,married,165355,74,0
52,536,home,female,married,817479,197,0
36,371,education,female,married,582312,41,0
33,489,vehicle,male,divorced,1194833,154,0
20,567,business,other,married,737723,189,0
37,620,gold,other,single,1254442,78,0
41,406,education,male,single,1403135,96,0
50,531,vehicle,male,married,1038314,181,0
41,341,education,male,divorced,1955319,131,0
28,438,home,other,divorced,1261271,209,0
25,572,personal,other,married,2363144,151,0
53,780,gold,other,single,1681602,104,1
55,715,home,female,married,959856,20,1
57,805,home,male,married,1997240,49,1
37,723,vehicle,male,married,2567696,227,0
52,706,education,male,divorced,367618,178,1
42,867,gold,other,divorced,2256178,102,1
52,689,home,male,single,166024,41,0
42,641,vehicle,male,single,2464918,173,0
46,792,gold,female,married,1594065,184,0
35,491,education,other,single,459510,35,0
63,798,home,male,married,2954590,31,0
35,532,business,other,single,139214,90,0
19,526,home,other,married,717472,106,0
52,670,home,other,divorced,873500,126,1
33,438,gold,female,married,460377,36,0
58,448,gold,other,divorced,289065,189,0
53,414,gold,other,divorced,1829159,194,0
50,749,gold,other,single,2481161,22,1
21,362,vehicle,male,single,1081153,214,0
50,403,personal,female,divorced,143026,103,0
31,572,vehicle,male,married,189037,131,0
38,305,home,female,married,2879378,29,0
37,446,vehicle,female,single,1174351,127,0
25,483,education,other,married,1046584,230,0
24,327,business,other,married,825783,137,0
20,849,gold,male,married,1692238,142,0
34,418,education,female,divorced,420595,135,0
50,592,business,other,divorced,2642967,168,0
29,670,education,other,married,639972,128,1
39,543,home,other,single,648290,43,0
39,879,gold,other,married,492848,178,1
63,517,education,male,single,559369,148,0
47,476,home,male,divorced,1642666,175,0
55,598,gold,other,married,1154885,136,0
55,357,personal,other,married,1495395,164,0
62,568,home,other,single,243206,185,0
25,607,vehicle,other,single,2974256,174,0
44,869,gold,other,married,1820026,62,1
44,587,education,female,married,1426289,47,0
51,404,business,female,single,1049731,58,0
38,527,education,female,divorced,2727948,124,0
47,546,vehicle,female,single,1034112,126,0
50,793,vehicle,other,married,1355617,61,1
45,382,education,female,divorced,754735,92,0
64,485,business,female,divorced,734936,81,0
50,551,gold,male,divorced,2221672,205,0
22,654,home,female,divorced,1619216,186,0
36,509,vehicle,female,married,119734,90,0
21,746,vehicle,other,divorced,2004371,90,1
52,759,vehicle,female,single,349972,165,1
34,771,business,female,single,1951265,86,1
61,669,personal,other,single,2884706,187,0
45,791,business,female,married,1376502,170,1
47,436,gold,other,divorced,2625052,221,0
46,666,gold,female,single,1410470,13,1
63,483,gold,male,single,1988227,215,0
23,887,gold,male,single,1020363,16,1
52,586,gold,female,divorced,2556688,187,0
58,771,education,male,single,2518623,193,0
54,674,vehicle,other,divorced,213827,143,0
41,836,business,female,divorced,2664118,223,0
46,810,education,other,divorced,2822712,203,0
63,878,business,male,married,665992,120,0
48,549,personal,other,married,946811,86,0
52,809,home,male,divorced,779678,92,1
50,372,vehicle,male,divorced,1753851,47,0
38,581,personal,male,married,1522281,42,0
49,659,education,other,married,2988858,97,1
40,309,home,male,divorced,2634002,213,0
50,510,personal,female,married,2031470,209,0
20,451,business,male,single,866032,191,0
35,304,home,female,divorced,1954054,90,0
42,494,business,female,divorced,2271362,64,0
59,582,personal,female,married,218724,157,0
48,763,education,female,single,1563702,161,1
20,412,business,other,married,2077583,42,0
57,570,home,female,single,2245544,26,0
63,462,personal,male,single,1734336,166,0
41,759,business,female,divorced,2440898,135,1
49,404,education,male,single,1219480,234,0
64,855,vehicle,other,divorced,2024071,88,0
39,581,education,female,single,407479,161,0
40,461,education,male,divorced,122487,148,0
19,650,vehicle,other,single,1224503,6,0
44,733,education,other,married,941254,112,1
59,439,vehicle,male,single,1152184,33,0
19,770,vehicle,female,married,1253758,55,0
43,431,business,other,single,1378970,40,0
34,386,business,male,single,1071416,229,0
57,482,vehicle,female,divorced,2748986,161,0
50,667,personal,other,single,2051007,142,1
26,428,home,male,single,2297956,157,0
60,545,personal,other,single,2658571,196,0
56,877,vehicle,other,married,1846282,137,1
46,677,home,male,divorced,1284878,189,0
59,448,business,other,divorced,650008,46,0
43,732,home,male,single,1579394,72,1
52,768,vehicle,female,single,115050,53,0
42,745,business,male,married,1524073,91,1
41,780,home,female,single,1134337,237,0
30,593,home,other,divorced,1330963,63,0
24,442,personal,male,divorced,1462884,44,0
53,549,home,male,married,916566,30,0
62,601,vehicle,male,married,554887,65,0
37,324,gold,male,divorced,114284,122,0
18,369,gold,female,married,2781966,91,0
25,411,gold,female,single,1545215,119,0
63,663,vehicle,other,single,1177153,180,0
33,602,gold,other,married,746155,231,0
31,770,personal,other,divorced,885367,194,0
29,390,vehicle,other,married,1528967,89,0
40,829,business,male,divorced,421044,233,0
32,491,vehicle,female,married,2019614,234,0
45,851,vehicle,female,married,1085372,236,0
51,541,home,female,married,2465362,160,0
19,437,home,female,single,876827,129,0
49,644,home,other,single,1515062,116,0
40,479,education,male,divorced,2648256,229,0
39,802,personal,female,married,1302252,47,1
42,502,vehicle,male,single,1437284,57,0
39,872,vehicle,male,married,423573,226,0
39,491,home,male,divorced,985032,238,0
59,304,vehicle,male,single,1761257,53,0
23,536,business,female,divorced,1177517,37,0
32,610,vehicle,female,single,2121591,157,0
60,848,gold,female,married,2716509,136,1
54,355,business,other,divorced,2497258,123,0
50,742,business,female,single,2366797,160,1
25,536,vehicle,other,single,1007842,206,0
61,496,education,other,married,2616060,173,0
61,884,home,other,divorced,2779860,28,0
22,870,personal,female,divorced,2803855,140,1
56,813,personal,female,divorced,266835,214,0
21,748,gold,female,married,801040,132,1
23,659,personal,other,single,743300,42,1
62,329,personal,other,single,1810329,12,0
49,407,home,male,divorced,2754928,227,0
47,744,home,other,single,2873971,82,1
64,737,education,other,divorced,505770,87,0
52,756,gold,female,married,2366091,100,1
57,794,personal,male,married,309176,27,1
33,546,education,male,married,1775194,83,0
30,842,gold,male,divorced,1848951,87,1
59,863,business,female,single,1415777,232,0
47,887,personal,male,married,2449722,150,1
36,738,personal,male,divorced,1755890,24,1
34,577,home,female,divorced,1678169,100,0
36,851,vehicle,male,married,423420,44,1
45,410,gold,other,married,2438442,122,0
43,684,personal,other,married,2090198,41,1
54,490,gold,other,single,1024178,20,0
43,789,education,other,single,273403,196,0
40,725,education,other,divorced,246388,162,0
26,704,vehicle,other,married,771577,65,1
29,634,personal,other,married,2133621,189,0
18,508,home,other,single,1259621,173,0
18,321,personal,other,married,2604970,149,0
64,507,gold,female,divorced,1162563,166,0
51,307,business,female,married,637831,94,0
49,828,education,other,single,1438664,21,1
42,465,gold,female,divorced,764504,163,0
57,795,vehicle,female,divorced,138459,103,0
62,889,education,other,married,655029,199,0
18,728,home,other,divorced,1873951,109,0
33,462,education,female,married,1798941,49,0
56,665,business,other,married,1611526,171,1
22,825,personal,other,single,874071,56,1
39,538,business,other,divorced,2529037,193,0
46,371,business,other,married,693465,23,0
20,744,personal,female,married,1131232,10,0
29,808,education,male,married,1809527,173,1
43,568,vehicle,female,divorced,2160957,11,0
33,714,personal,male,divorced,2388658,81,1
54,544,personal,male,divorced,2488351,120,0
39,359,home,male,married,2465412,17,0
46,305,education,female,divorced,757767,17,0
31,869,personal,female,married,2787861,78,1
45,706,vehicle,female,divorced,853091,111,1
22,516,gold,female,divorced,2159435,155,0
64,325,education,female,married,318102,54,0
47,304,home,male,divorced,1248348,183,0
63,831,business,female,married,1335092,213,0
22,689,personal,male,divorced,452265,9,1
29,870,vehicle,female,divorced,319055,183,0
33,747,education,female,divorced,2695687,8,1
43,445,vehicle,other,divorced,1830174,149,0
43,687,vehicle,male,single,204627,19,0
38,548,business,female,married,1845639,69,0
56,825,home,female,single,1314844,125,1
53,761,education,female,divorced,1881157,174,1
50,312,personal,other,divorced,1947746,235,0
47,683,home,male,married,2835623,73,1
54,855,personal,female,married,1950780,64,1
40,698,gold,female,married,2142249,135,1
27,318,vehicle,female,married,1133546,124,0
22,874,gold,other,divorced,1921104,15,1
53,790,vehicle,female,married,281410,80,0
51,718,business,male,single,1262161,236,0
48,636,home,male,married,1054359,95,0
27,718,personal,male,married,1023732,106,1
36,421,business,male,single,2348269,159,0
49,731,personal,female,single,314740,137,1
18,343,home,other,single,2404815,223,0
22,616,education,other,single,648606,235,0
62,680,gold,other,married,1469178,33,0
21,444,gold,female,single,2604163,135,0
33,626,personal,other,divorced,753077,71,0
41,662,personal,male,married,2975091,149,1
33,349,personal,female,divorced,2416994,129,0
19,364,home,other,married,2375597,62,0
45,654,education,male,married,1835496,156,1
49,463,gold,male,divorced,1159858,156,0
44,440,business,female,single,1211649,210,0
37,427,vehicle,female,single,2875555,26,0
41,697,home,other,divorced,342720,108,1
29,762,gold,other,single,1607114,158,1
52,486,education,other,married,2512196,63,0
50,489,home,female,married,2365712,42,0
50,687,business,other,married,429649,182,0
60,728,gold,other,single,2484756,210,0
54,583,home,male,single,112155,148,0
29,536,gold,male,divorced,477150,161,0
20,493,gold,male,married,2856229,200,0
18,586,education,other,divorced,1798939,220,0
50,435,vehicle,female,single,1137683,137,0
57,470,education,male,divorced,1825762,52,0
27,458,gold,female,single,2140295,183,0
60,500,home,other,married,477282,193,0
61,786,business,other,married,2189312,195,0
46,856,education,male,single,2341651,200,0
30,882,vehicle,female,single,2261594,108,1
29,803,gold,male,single,1630892,77,1
48,670,business,other,married,2625076,176,1
63,402,education,female,single,1127236,94,0
19,424,education,male,married,1828207,63,0
52,612,education,other,divorced,2391796,110,0
40,757,education,male,married,644175,185,0
34,529,business,female,divorced,1698123,209,0
43,496,home,female,married,1246508,74,0
25,722,vehicle,female,married,682275,230,0
46,871,vehicle,female,single,804990,51,1
43,470,gold,female,married,1954152,158,0
27,681,personal,male,single,2930703,30,1
43,472,home,male,single,861632,126,0
51,752,gold,male,single,1590852,40,1
58,649,gold,male,married,1859028,194,0
24,793,education,other,single,2873348,20,1
21,303,personal,other,divorced,2965559,111,0
62,392,personal,male,divorced,2428754,223,0
28,305,home,other,married,2503752,133,0
46,587,personal,other,single,1316028,79,0
53,445,gold,female,divorced,1268826,93,0
42,723,personal,male,married,1488455,168,1
38,756,personal,other,married,601554,34,1
53,501,vehicle,other,married,898001,43,0
27,511,gold,male,married,487438,202,0
54,305,business,female,married,854723,29,0
26,675,personal,male,single,2706700,24,1
41,746,personal,female,single,252721,179,0
52,405,education,other,single,982564,54,0
52,700,personal,female,single,2297649,49,1
53,395,personal,female,married,2311584,206,0
35,687,vehicle,male,married,1304377,159,1
56,751,gold,other,divorced,1593488,158,1
49,715,home,male,divorced,1021372,40,1
41,803,gold,male,single,1187294,169,1
40,753,education,other,married,2763122,147,1
49,590,gold,male,divorced,1406159,61,0
54,833,personal,male,divorced,2342365,139,1
29,492,education,female,divorced,2879899,37,0
30,449,gold,male,divorced,705978,31,0
40,814,education,other,single,462757,148,1
42,692,home,male,married,536677,182,0
52,615,gold,female,single,2503589,228,0
58,375,business,male,divorced,2089150,61,0
47,898,personal,male,divorced,899848,42,1
34,569,education,male,married,1789575,130,0
37,524,business,female,married,2550231,235,0
42,829,business,other,single,1605236,58,1
39,412,vehicle,other,married,2467656,191,0
30,550,education,female,single,140721,106,0
36,532,business,female,single,1930230,216,0
53,382,vehicle,male,divorced,922501,83,0
29,424,business,other,single,1463990,41,0
58,474,personal,female,divorced,111227,106,0
36,368,home,other,single,686008,16,0
29,346,vehicle,male,single,2110630,32,0
26,555,home,female,married,2535324,7,0
24,329,education,other,married,2512947,27,0
45,580,personal,other,divorced,413476,71,0
31,536,vehicle,male,married,299953,217,0
48,547,education,female,single,1357550,117,0
36,667,business,other,divorced,2845378,22,1
64,794,gold,male,divorced,741518,137,0
33,324,education,other,divorced,1616653,19,0
22,885,home,male,single,1242334,12,1
52,789,personal,other,married,913383,84,1
29,793,personal,other,divorced,1167697,227,0
42,613,education,male,single,2543647,149,0
38,674,business,female,married,412683,109,1
53,324,gold,male,married,603015,199,0
40,633,home,female,divorced,785671,152,0
33,654,education,other,single,797757,6,1
56,415,education,other,married,1823685,36,0
62,347,personal,male,single,1177794,133,0
59,398,home,male,married,1098573,137,0
56,758,gold,female,divorced,799493,96,1
31,822,personal,female,divorced,931299,63,1
48,896,education,female,married,1149892,61,1
22,704,personal,male,single,137972,186,0
52,513,personal,other,married,973356,222,0
40,802,vehicle,male,single,1096552,219,0
46,747,personal,other,married,821580,48,1
60,875,business,male,divorced,2551996,79,1
28,557,personal,male,single,1356919,230,0
35,420,business,female,divorced,2903777,54,0
64,353,home,other,single,279869,117,0
29,630,personal,male,married,1549871,113,0
26,540,gold,male,divorced,1733751,65,0
27,829,business,other,divorced,2874924,227,0
61,782,business,male,single,2710756,99,0
34,486,education,other,single,2586973,149,0
55,561,home,female,single,1888663,78,0
24,663,personal,female,divorced,2867333,214,0
63,790,gold,other,married,2532414,104,0
30,730,education,female,single,1223124,193,0
57,538,home,other,married,2361879,119,0
59,603,business,male,single,204319,180,0
26,597,gold,male,married,285648,20,0
44,375,personal,other,single,1933136,68,0
19,632,vehicle,male,married,2277218,33,0
22,773,vehicle,female,divorced,1627705,153,1
46,582,home,male,single,2443787,230,0
54,890,gold,male,single,931653,196,0
55,371,education,other,divorced,1778676,166,0
36,562,gold,female,single,1365564,41,0
25,874,business,male,single,1083596,130,1
62,311,vehicle,male,divorced,1334093,146,0
18,440,home,other,divorced,192326,67,0
39,854,personal,other,married,239972,201,0
34,316,gold,female,divorced,2099565,156,0
24,362,vehicle,male,divorced,2430193,205,0
42,552,education,other,single,1162467,18,0
62,764,home,other,divorced,995072,93,0
21,675,personal,other,single,958515,45,1
53,819,gold,female,divorced,2766179,163,1
23,389,education,other,divorced,972231,129,0
48,474,personal,female,married,315928,227,0
36,375,business,female,divorced,798734,30,0
61,699,vehicle,male,divorced,139459,230,0
56,370,business,male,single,1942053,206,0
44,479,vehicle,female,single,1453975,159,0
27,423,education,male,married,1724829,29,0
43,680,business,male,divorced,2984821,102,1
36,592,vehicle,other,single,1126117,44,0
56,494,home,male,divorced,152195,222,0
20,527,education,female,married,2170856,114,0
62,730,vehicle,male,single,1528495,212,0
30,735,gold,other,single,2233478,66,1
45,760,vehicle,female,married,236365,238,0
37,320,business,male,divorced,2553216,182,0
45,363,home,female,single,982961,174,0
25,464,personal,male,single,2144427,203,0
58,326,personal,other,married,773589,25,0
56,610,vehicle,male,married,1406542,177,0
18,584,personal,female,married,2154656,21,0
20,580,vehicle,female,divorced,418862,154,0
30,463,home,female,divorced,2702970,20,0
45,523,personal,male,divorced,2771055,172,0
42,445,business,male,married,1219872,47,0
50,329,business,male,single,343083,194,0
55,344,gold,other,divorced,1019419,9,0
23,770,vehicle,other,married,2533947,157,1
61,333,personal,other,divorced,2204228,136,0
62,726,business,female,single,2099163,119,0
49,520,home,female,single,1546585,134,0
62,833,home,female,married,936960,227,0
64,666,gold,female,single,479647,146,0
38,849,home,female,married,166798,59,0
33,881,home,male,married,2206471,87,1
38,415,personal,female,married,512525,45,0
28,538,vehicle,male,married,2386620,132,0
54,634,education,other,single,849656,144,0
53,740,home,other,single,1437718,47,1
52,447,home,other,single,103468,98,0
36,308,education,other,single,2987993,9,0
37,587,home,other,married,166083,30,0
35,687,personal,female,married,1382843,105,1
64,349,personal,female,single,2282595,169,0
58,816,education,female,divorced,909858,197,0
31,886,business,other,divorced,245508,130,0
32,577,home,other,divorced,1951498,177,0
48,599,business,male,single,1665528,45,0
18,888,home,female,married,676424,97,0
20,434,vehicle,other,married,1308610,178,0
33,879,home,other,divorced,2694140,141,1
40,446,personal,other,divorced,2619656,90,0
28,789,gold,male,married,2384115,40,1
29,777,gold,other,divorced,1942936,177,1
27,458,gold,male,divorced,1467089,151,0
49,683,gold,male,married,1477123,52,1
33,462,business,female,divorced,983657,158,0
25,740,business,other,divorced,407357,174,1
55,488,home,male,single,198631,10,0
29,714,business,other,divorced,628104,197,0
41,638,home,female,single,409982,195,0
45,480,vehicle,female,married,1401112,130,0
25,587,home,male,single,2456677,116,0
45,486,gold,female,married,1815509,77,0
53,437,education,female,single,2109414,92,0
43,429,education,female,single,2936987,8,0
25,493,personal,other,single,2603525,170,0
45,615,personal,other,divorced,895754,228,0
45,443,home,male,divorced,1970875,98,0
54,315,education,male,divorced,2962328,46,0
58,601,gold,female,divorced,458100,153,0
53,722,business,female,divorced,2043060,200,0
44,544,gold,male,single,1356919,92,0
34,406,gold,female,divorced,1662266,173,0
26,387,home,male,married,2203884,90,0
50,428,home,other,single,2368977,210,0
37,640,vehicle,female,single,866364,141,0
30,303,gold,female,married,2432582,138,0
45,626,gold,female,divorced,2443480,30,0
46,709,home,other,married,2231574,44,1
30,605,home,other,single,2798404,170,0
63,524,vehicle,female,single,752863,130,0
52,647,vehicle,male,single,824629,110,0
23,620,personal,other,married,532795,10,0
35,858,education,female,divorced,2535296,141,1
22,480,gold,female,single,1014691,9,0
64,685,gold,other,divorced,1328162,174,0
42,407,vehicle,male,single,110300,65,0
19,830,vehicle,female,divorced,1590752,59,0
27,709,personal,male,married,745515,155,1
47,595,education,male,single,1227820,83,0
62,470,personal,other,single,490305,24,0
22,630,education,female,single,2060315,210,0
50,792,business,female,married,1832026,104,1
18,494,gold,male,married,116328,73,0
35,311,personal,other,divorced,519870,38,0
49,494,vehicle,other,married,761574,155,0
